dataset,model,objective,method,seed,model_path,meta_path,runtime_seconds,Retain,Forget,Val,Test,Val MIA,Test MIA,status,error_message
cifar10,resnet18,objective10,kgltop1,7,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_7.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_7_meta.txt,192.2603940963745,0.993124183006536,0.8555294117647059,0.8229333333333333,0.823,0.514235294117647,0.5050588235294118,ok,
cifar10,resnet18,objective10,kgltop1,8,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_8.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_8_meta.txt,189.20254373550412,0.9952679738562092,0.867764705882353,0.8350666666666666,0.83,0.5155294117647059,0.5069411764705882,ok,
cifar10,resnet18,objective10,kgltop1,9,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_9.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_9_meta.txt,210.52582335472107,0.992,0.8604705882352941,0.8268,0.8287,0.5038823529411764,0.5089411764705882,ok,
cifar10,resnet18,objective10,kgltop2,0,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_0.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_0_meta.txt,210.2386584281921,0.9852287581699346,0.8183529411764706,0.8010666666666667,0.8026,0.5052941176470588,0.5090588235294117,ok,
cifar10,resnet18,objective10,kgltop2,1,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_1.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_1_meta.txt,205.29659390449524,0.9964967320261438,0.8355294117647059,0.8197333333333333,0.8152,0.5052941176470589,0.5122352941176469,ok,
cifar10,resnet18,objective10,kgltop2,2,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_2.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_2_meta.txt,234.97968912124637,0.9922875816993464,0.8322352941176471,0.8069333333333333,0.8113,0.5108235294117647,0.5102352941176471,ok,
cifar10,resnet18,objective10,kgltop2,3,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_3.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_3_meta.txt,233.84756207466123,0.984967320261438,0.8225882352941176,0.802,0.8056,0.5125882352941177,0.5057647058823529,ok,
cifar10,resnet18,objective10,kgltop2,4,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_4.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_4_meta.txt,240.36618304252625,0.9855424836601308,0.8115294117647058,0.8026666666666666,0.805,0.5076470588235295,0.498235294117647,ok,
cifar10,resnet18,objective10,kgltop2,5,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_5.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_5_meta.txt,226.8620603084564,0.9877124183006536,0.8244705882352941,0.8093333333333333,0.8032,0.4994117647058823,0.5148235294117647,ok,
cifar10,resnet18,objective10,kgltop2,6,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_6.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_6_meta.txt,225.5332453250885,0.989202614379085,0.8216470588235294,0.8078666666666666,0.8115,0.5169411764705882,0.5024705882352941,ok,
cifar10,resnet18,objective10,kgltop2,7,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_7.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_7_meta.txt,224.39800715446472,0.9910588235294118,0.831764705882353,0.8176,0.8158,0.508,0.498235294117647,ok,
cifar10,resnet18,objective10,kgltop2,8,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_8.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_8_meta.txt,238.6257770061493,0.9853856209150328,0.8218823529411765,0.8048,0.8067,0.5092941176470588,0.5150588235294118,ok,
cifar10,resnet18,objective10,kgltop2,9,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_9.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop2/10_resnet18_9_meta.txt,238.2355134487152,0.9861176470588237,0.8185882352941176,0.8066666666666666,0.8094,0.5131764705882353,0.507764705882353,ok,
cifar10,resnet18,objective10,kgltop3,0,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop3/10_resnet18_0.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop3/10_resnet18_0_meta.txt,159.78797388076782,0.9980130718954248,0.8350588235294117,0.8057333333333333,0.8058,0.5121176470588236,0.5052941176470588,ok,
cifar10,resnet18,objective10,kgltop3,1,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop3/10_resnet18_1.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop3/10_resnet18_1_meta.txt,158.66227340698242,0.9963398692810458,0.8247058823529412,0.8065333333333333,0.7968,0.5097647058823529,0.5107058823529411,ok,
cifar10,resnet18,objective10,kgltop3,2,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop3/10_resnet18_2.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop3/10_resnet18_2_meta.txt,166.30073642730713,0.9955816993464052,0.8296470588235294,0.8112,0.7987,0.5145882352941177,0.5188235294117647,ok,
